,address,has_ens,ens_count,has_defi_transactions,count_defi_transactions,had_activity_before_december_2022,count_activity_before_december_2022,had_activity_after_december_2022,count_activity_after_december_2022
2494,0x0a3fbf4faf02f7b30d739286e34eedb6e5ff05cf,NO,0,NO,0,no,0,no,0
2579,0xeb48d8f20fe907cf1dfbadcb5f1864caccb15f45,NO,0,NO,0,no,0,no,0
2585,0xbd54d6c4959a15e893acb4c794cfc1e50fb977e1,NO,0,NO,0,no,0,no,0
2639,0xb298255a499b1f8206839b64090b5095c7330557,NO,0,NO,0,no,0,no,0
2652,0xff9082a799db9d94566ed6e61ed5f009d29fcb83,NO,0,NO,0,no,0,no,0
2746,0x5c00ab32587e2bb7d1adcc7ac8f71f0e03913f4f,NO,0,NO,0,no,0,no,0
2765,0xfeb894dad55c4ab1318f425304673d8be4c10252,NO,0,NO,0,no,0,no,0
2803,0xba5ec65681df9b65a8f349634279207c342f3bc0,NO,0,NO,0,no,0,no,0
2818,0x964c346a4f73d9dab12e8031b276228f23178869,NO,0,NO,0,no,0,no,0
2896,0x8b803e1db0fe91bd16e0c2efa702e322b7d73cd3,NO,0,NO,0,no,0,no,0
2966,0x25e20023ed864a554759559b90c446e911f6d3f4,NO,0,NO,0,no,0,no,0
2967,0x45e0c362637b0206f3e4d0a11e876bed7bb4cb59,NO,0,NO,0,no,0,no,0
2993,0xbc7c0d37263621b6e38a7b9862f700e8ecebc396,NO,0,NO,0,no,0,no,0
3039,0x4040a1c338a4ba99555adcc36b23542709a62838,NO,0,NO,0,no,0,no,0
3128,0x3b729d47675f6aae390fdf371dba1d1eb98bb186,NO,0,NO,0,no,0,no,0
3132,0x87965fd149f314f4ba39399956257cab07800cce,NO,0,NO,0,no,0,no,0
3162,0xa2555ed7f7e7fb29501f780fc4ef0fbf4fab98a9,NO,0,NO,0,no,0,no,0
3168,0xb63fc928a5a1815a7098e6c5b55248442ecd8bef,NO,0,NO,0,no,0,no,0
3277,0xd91f1108c67243e51e617cc90e32fac6cddd3b44,NO,0,NO,0,no,0,no,0
3392,0xaf8cdef731b735b7e2d66d3106a941c74d2c9089,NO,0,NO,0,no,0,no,0
3436,0xe5c59fa9ce80f6a7f20150b052970e8995a94ed0,NO,0,NO,0,no,0,no,0
3468,0x27575dc293d6b920e1ababf2f69e9559724fb5d7,NO,0,NO,0,no,0,no,0
3539,0xc74fe614e92ed4bce9006db2575e1465ca285a3c,NO,0,NO,0,no,0,no,0
3543,0x930d75a5dcdbe4afee0dbcbd0c6119fc6460c102,NO,0,NO,0,no,0,no,0
3681,0x6947c2b0bab7921c23943f9b00b8954401bd3431,NO,0,NO,0,no,0,no,0
3702,0x1380833cab9df21b9233346355971bfbd0e8185e,NO,0,NO,0,no,0,no,0
3773,0xe0459da14bae1f5e6fab63d6e93576353b0bb4a3,NO,0,NO,0,no,0,no,0
3968,0xee87734d32e16b22488e30d3ae7dc43fe8977303,NO,0,NO,0,no,0,no,0
3997,0x8985b233b8251fcfdb1e3282ade2443b2d069d45,NO,0,NO,0,no,0,no,0
4102,0xa469c710f4dccb315aca079c0ae7f9e0e64d329c,NO,0,NO,0,no,0,no,0
4160,0xa4a4b4972f02f13785788742c7dfbc04fa6b9f27,NO,0,NO,0,no,0,no,0
4207,0xfe895bd6a635f4b22389fb0b27f5ee71044d2954,NO,0,NO,0,no,0,no,0
4211,0xc434cfb929c7db952d6215ebb56b29e9be21e414,NO,0,NO,0,no,0,no,0
4214,0xb04406d9d980574936e502b876fba98b95dcab43,NO,0,NO,0,no,0,no,0
4232,0xbbb1ea5b879a7a33ac57f13fe7f6a2d73fe98bb0,NO,0,NO,0,no,0,no,0
4275,0x52bb53ee2c455d9fd20e6b247ae3c237b3cd293c,NO,0,NO,0,no,0,no,0
4374,0x9b2844b2e9e65128dd4148e61329ab56e191946a,NO,0,NO,0,no,0,no,0
4433,0x160e9500acd050b12e4df0db3e6a0c531bedebeb,NO,0,NO,0,no,0,no,0
4623,0x50b6db87443f7536d6978cf78e0509b03fe32033,NO,0,NO,0,no,0,no,0
4644,0x938dd77aa551b4bcdcd08d89d58268c8e13f342a,NO,0,NO,0,no,0,no,0
4682,0x06c0a96e5ad7818fa372e90fe5f43518669bf03b,NO,0,NO,0,no,0,no,0
4715,0x970c236ea3a89473116fdf2c955ce8766cf08dbb,NO,0,NO,0,no,0,no,0
4719,0x8300538da89ce2eaeed1537d17f22b5788ef8584,NO,0,NO,0,no,0,no,0
4959,0x71d926fba44eced3f8aa2fec0347b000bcda080e,NO,0,NO,0,no,0,no,0
5015,0xc7a014d9526115d7fea8ef7d2912acc8ea6e49d0,NO,0,NO,0,no,0,no,0
5065,0x21083cce8d53e15c6396ed42b8cc6f75ac9bf96b,NO,0,NO,0,no,0,no,0
5087,0x3d3ba438d61fda4afeaf10831c6c2a46cd024711,NO,0,NO,0,no,0,no,0
5094,0xbe256c9b3537aed487f706d3fb9eab527453a02b,NO,0,NO,0,no,0,no,0
5110,0x3b995edc5047952a8b980a2025b4cfbc4cfe7c8c,NO,0,NO,0,no,0,no,0
5160,0xfecba612222b07b3a186b70096ff88d7891b8abe,NO,0,NO,0,no,0,no,0
5232,0xb1cefa9ae4f5c3c96fc10140d05b0705e1884325,NO,0,NO,0,no,0,no,0
5318,0x75df6f462277b81ca99bdb4a2c4db3f9438a9733,NO,0,NO,0,no,0,no,0
5383,0xd3e0f4a04368d1424cd43786f115bb63658a524f,NO,0,NO,0,no,0,no,0
5505,0x3657ad2a181f299ddfa8da9e146563ae27024cf4,NO,0,NO,0,no,0,no,0
5541,0xc32cd9861a1508749ed2772d1871aa55ad0ce398,NO,0,NO,0,no,0,no,0
5561,0x5296cc48a756561573f9c8b2953dcccf4c32bd03,NO,0,NO,0,no,0,no,0
5562,0x409a3335e45f4983966b00f22518fd4700caa780,NO,0,NO,0,no,0,no,0
5639,0xa03747337cb71a3e7f7cc92e7fbc1d197e608929,NO,0,NO,0,no,0,no,0
5725,0x796296205c600a82e9da3dd90310d2f0daa72c0a,NO,0,NO,0,no,0,no,0
5729,0x4ed5467590eab045ed0623ab764c1672d051c664,NO,0,NO,0,no,0,no,0
5796,0x438d63e4419ab5fbb30bf1f13d77d2f48c529875,NO,0,NO,0,no,0,no,0
5899,0x951321e7120db7a91d244d7c1cd77228b7209b75,NO,0,NO,0,no,0,no,0
5922,0xb54cae6685b028b52877e8140debc3c54c8c2537,NO,0,NO,0,no,0,no,0
5954,0xdcadb1bece5209e6b4402f13240b0f571b6eae24,NO,0,NO,0,no,0,no,0
5964,0x4b29fe67d789da9b83e26a2e98c7243f73389abc,NO,0,NO,0,no,0,no,0
5995,0x138d505f1c15bbda6e5935bf3acf93b9d2dbad7b,NO,0,NO,0,no,0,no,0
6003,0xedc3d56956b00df950badc0598889089c4add128,NO,0,NO,0,no,0,no,0
6084,0x98dffed9c35dbde2d9cd519fe3c34d6f54fc0d9f,NO,0,NO,0,no,0,no,0
6130,0x4b7f50783680fad0cb26829d28f94b90680f68f8,NO,0,NO,0,no,0,no,0
6285,0xf07039ac3045f34fb300496e517a44b160acd34b,NO,0,NO,0,no,0,no,0
6295,0x8dc1bf794ababd3e0229829cebec40c90b47bd9d,NO,0,NO,0,no,0,no,0
6303,0xc5a279fe8fcf216d4525a7fbfe050234fddc40db,NO,0,NO,0,no,0,no,0
6313,0x898dd963fad22932e0a3081ecb457816e2dc914e,NO,0,NO,0,no,0,no,0
6328,0x192c3e9fda8623adf0d16108eb5f791e164bac5b,NO,0,NO,0,no,0,no,0
6338,0xce83dfcd1ae027c514604d85a783b4d5b34d5d39,NO,0,NO,0,no,0,no,0
6362,0xd66d1b39bcd50931102f472951fcc521578602bc,NO,0,NO,0,no,0,no,0
6400,0xeea5925b4a202df4ba4b6f099fc2d7e0bfb58d2c,NO,0,NO,0,no,0,no,0
6504,0xb58fb53377521d64766d12a317e330cabd4326f3,NO,0,NO,0,no,0,no,0
6549,0x1faf41abb532950f4ddcdf8a5520d782887dd95f,NO,0,NO,0,no,0,no,0
6576,0xd91a5420b4c677614f9e2e913af6d0482b94a4bc,NO,0,NO,0,no,0,no,0
6583,0xf46d74942cf732392414a92ac6927e2fbde532bc,NO,0,NO,0,no,0,no,0
6688,0x6c4e1cbf5dc97883b937936aed944cb9b5f81442,NO,0,NO,0,no,0,no,0
6702,0x5d7ffd177dfa4d938174b3275680cd1eaf48f93e,NO,0,NO,0,no,0,no,0
6705,0xf9c3487e6ce088a58fbb5e0f403140e41ee6ac31,NO,0,NO,0,no,0,no,0
